Date : 2023-12-20 13:31:33
Directory : /home/xiangui/ysyx-workbench/npc
Total : 89 files,  5634 codes, 985 comments, 868 blanks, all 7487 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         70 |      4,768 |        722 |        697 |      6,187 |
| vcd      |          1 |        322 |          0 |          4 |        326 |
| Verilog  |          7 |        284 |          9 |         36 |        329 |
| Makefile |         11 |        260 |        254 |        131 |        645 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc___024unit__DepSet_h503da320__0.cpp       | C++      |         11 |          4 |          5 |         20 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc___024unit__Slow.cpp                      | C++      |         16 |          4 |          7 |         27 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc_classes.mk                               | Makefile |         30 |         21 |         10 |         61 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_pc.cpp                                       | C++      |        102 |         23 |         21 |        146 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_pc.h                                         | C++      |         30 |         32 |         13 |         75 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_pc.mk                                        | Makefile |         25 |         29 |         15 |         69 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_pc__ALL.cpp                                  | C++      |          7 |          1 |          1 |          9 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_pc__Syms.cpp                                 | C++      |         15 |          8 |          4 |         27 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_pc__Syms.h                                   | C++      |         17 |         12 |         11 |         40 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_pc__Trace.cpp                                | C++      |         31 |          5 |          6 |         42 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_pc__Trace__Slow.cpp                          | C++      |         55 |          7 |         10 |         72 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_pc___024root.cpp                             | C++      |         44 |         11 |          9 |         64 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_pc___024root.h                               | C++      |         20 |         11 |         16 |         47 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_pc___024root__Slow.cpp                       | C++      |         38 |          7 |         12 |         57 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_pc_classes.mk                                | Makefile |         22 |         22 |         10 |         54 |
| /home/xiangui/ysyx-workbench/npc/vsrc/ysyx_23060096_ContrGen.v                                       | Verilog  |         74 |          0 |          2 |         76 |
| /home/xiangui/ysyx-workbench/npc/vsrc/ysyx_23060096_ImmGen.v                                         | Verilog  |         28 |          0 |          3 |         31 |
| /home/xiangui/ysyx-workbench/npc/vsrc/ysyx_23060096_RegisterFile.v                                   | Verilog  |         27 |          1 |          4 |         32 |
| /home/xiangui/ysyx-workbench/npc/vsrc/ysyx_23060096_adder.v                                          | Verilog  |         15 |          0 |          3 |         18 |
| /home/xiangui/ysyx-workbench/npc/vsrc/ysyx_23060096_alu.v                                            | Verilog  |         40 |          0 |          3 |         43 |
| /home/xiangui/ysyx-workbench/npc/vsrc/ysyx_23060096_npc.v                                            | Verilog  |         81 |          6 |         19 |        106 |
| /home/xiangui/ysyx-workbench/npc/vsrc/ysyx_23060096_pc.v                                             | Verilog  |         19 |          2 |          2 |         23 |
| /home/xiangui/ysyx-workbench/npc/wave.vcd                                                            | vcd      |        322 |          0 |          4 |        326 |
| Total                                                                                                |          |      5,634 |        985 |        868 |      7,487 |
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
